ep,sigma_inf,hits,max_dev,hit_dist
500,0.15,0,0.27512359619140625,"[np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]"
500,0.3,2,0.27512359619140625,"[np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(0)]"
500,0.5,6,0.27512359619140625,"[np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]"
1000,0.15,2,1.0017585754394531,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]"
1000,0.3,12,1.0017166137695312,"[np.int64(3), np.int64(2), np.int64(1), np.int64(1), np.int64(3), np.int64(2)]"
1000,0.5,16,1.001739501953125,"[np.int64(4), np.int64(3), np.int64(1), np.int64(2), np.int64(3), np.int64(3)]"
1500,0.15,13,2.3109588623046875,"[np.int64(3), np.int64(2), np.int64(1), np.int64(2), np.int64(3), np.int64(2)]"
1500,0.3,14,2.3108749389648438,"[np.int64(2), np.int64(4), np.int64(1), np.int64(2), np.int64(3), np.int64(2)]"
1500,0.5,19,2.3109130859375,"[np.int64(2), np.int64(4), np.int64(1), np.int64(4), np.int64(5), np.int64(3)]"
2000,0.15,19,3.7632827758789062,"[np.int64(2), np.int64(5), np.int64(3), np.int64(2), np.int64(5), np.int64(2)]"
2000,0.3,24,3.7633209228515625,"[np.int64(3), np.int64(5), np.int64(3), np.int64(4), np.int64(6), np.int64(3)]"
2000,0.5,27,3.7632293701171875,"[np.int64(5), np.int64(5), np.int64(1), np.int64(4), np.int64(7), np.int64(5)]"
2500,0.15,21,4.73046875,"[np.int64(2), np.int64(4), np.int64(4), np.int64(3), np.int64(5), np.int64(3)]"
2500,0.3,22,4.730659484863281,"[np.int64(2), np.int64(5), np.int64(3), np.int64(4), np.int64(5), np.int64(3)]"
2500,0.5,27,4.730560302734375,"[np.int64(5), np.int64(5), np.int64(3), np.int64(4), np.int64(7), np.int64(3)]"
3000,0.15,23,4.6905517578125,"[np.int64(3), np.int64(4), np.int64(4), np.int64(3), np.int64(4), np.int64(5)]"
3000,0.3,25,4.6906585693359375,"[np.int64(3), np.int64(5), np.int64(4), np.int64(4), np.int64(6), np.int64(3)]"
3000,0.5,28,4.690635681152344,"[np.int64(7), np.int64(5), np.int64(3), np.int64(4), np.int64(6), np.int64(3)]"
3500,0.15,26,2.2187652587890625,"[np.int64(3), np.int64(5), np.int64(3), np.int64(4), np.int64(7), np.int64(4)]"
3500,0.3,28,2.2188873291015625,"[np.int64(6), np.int64(5), np.int64(3), np.int64(4), np.int64(6), np.int64(4)]"
3500,0.5,34,2.2188491821289062,"[np.int64(10), np.int64(5), np.int64(3), np.int64(4), np.int64(7), np.int64(5)]"
4000,0.15,34,2.7037506103515625,"[np.int64(8), np.int64(6), np.int64(4), np.int64(4), np.int64(7), np.int64(5)]"
4000,0.3,36,2.7037734985351562,"[np.int64(10), np.int64(6), np.int64(3), np.int64(4), np.int64(7), np.int64(6)]"
4000,0.5,39,2.70379638671875,"[np.int64(11), np.int64(7), np.int64(3), np.int64(4), np.int64(8), np.int64(6)]"
4500,0.15,42,4.639900207519531,"[np.int64(11), np.int64(7), np.int64(5), np.int64(6), np.int64(7), np.int64(6)]"
4500,0.3,41,4.639991760253906,"[np.int64(10), np.int64(8), np.int64(5), np.int64(5), np.int64(7), np.int64(6)]"
4500,0.5,40,4.639961242675781,"[np.int64(11), np.int64(8), np.int64(3), np.int64(5), np.int64(7), np.int64(6)]"
5000,0.15,40,3.1511764526367188,"[np.int64(9), np.int64(8), np.int64(4), np.int64(5), np.int64(8), np.int64(6)]"
5000,0.3,38,3.1512908935546875,"[np.int64(10), np.int64(7), np.int64(3), np.int64(5), np.int64(7), np.int64(6)]"
